# PATH  MJD v1 sig S2N
10-26T09_1.0.5.fits 59107.242999023 -14.770636579189112 1.9412679005654288 36.6990217730438
10-22T08.0.625.fits 59108.239837065 337.9526913859748 1.5914921364623462 49.6039740311008
10-22T08.0.125.fits 59108.364256825 383.82094232158784 1.2071214828242525 50.5227649706678
10-26T08.0.625.fits 59111.235159975 -120.21862331499332 1.1893012425715455 45.5084552045
10-26T08.0.125.fits 59111.371021884 -134.7281259089242 0.9976809750752593 55.0209256220691
10-26T09.0.0.fits 59113.225022421 -156.59435816549117 1.1294112793445377 47.5197473559403
10-26T09_2.0.5.fits 59114.300767687 382.0954543950669 1.176884651029713 50.9514087839294
10-26T09.0.25.fits 59114.324237976 372.2660384340376 1.2105428297084457 49.6546343372098
10-26T07.0.75.fits 59115.285093119 -73.29252512168303 1.2582274818026367 43.6871345325242
10-26T10.0.375.fits 59116.201351025 361.5520518965522 1.0913790100846765 49.05908477966
10-26T11_1.0.875.fits 59117.201536722 -69.7050573979246 1.2477088348742142 43.7754040515711
10-26T11_2.0.875.fits 59119.321199273 -10.504329983604274 1.4574784994656502 45.7074614263445
10-26T09.0.375.fits 59120.306792754 218.98577167517723 1.6242861282836556 40.9927567651198
10-26T06.0.875.fits 59123.238533685 117.30067618535584 3.0146428807698586 30.225605877214
11-16T15.0.375.fits 59124.186014144 192.78661023507144 1.9653132332627095 40.8953273901557
11-16T15.0.5.fits 59124.341594721 48.09425752463206 1.9972139230063168 48.9220739453844
11-18T09.0.0.fits 59125.331155705 293.6147041573919 1.960841984436177 39.2741121235789
11-16T16.0.125.fits 59131.265209635 402.3017499012256 1.407211179530881 42.8122215340943
11-16T16.0.625.fits 59132.262372996 -105.01494423835693 1.2709333227827537 44.9897315289303
11-16T16.0.75.fits 59134.348014505 -126.66432134079112 1.0717452228988433 51.4677674440605
11-16T16.0.25.fits 59135.30170883 367.6945468802514 1.2301893958838919 48.9307095783631
