,MJD,U,Q,sig(P)
0,19107.701454132795,-0.14458067358557244,0.6820003878843104,0.025
1,19107.79365513567,-0.14907776833631964,0.9249331361469009,0.025
2,19107.780318201054,-0.1671442130955139,0.8769750119539506,0.025
3,19107.864986708853,-0.10794210756842335,1.076096784491031,0.025
4,19107.994661428034,0.11593884597932216,1.2450530219376708,0.025
5,19108.104618961923,0.3412198613967229,1.2010957536025693,0.025
6,19108.22725443542,0.45415135420707603,0.9442423956124633,0.025
7,19108.38379798131,0.36526406505006837,0.620501818121468,0.025
8,19108.368921810295,0.38355460224898597,0.6415603050196668,0.025
9,19108.511230234988,0.11202830777148101,0.520981994769262,0.025
10,19108.593122983817,-0.039411699700735506,0.5945735215221304,0.025
11,19108.709143080283,-0.13645341945443787,0.8454417257112432,0.025
12,19108.755301554687,-0.15635639709641463,0.9340804503555066,0.025
13,19108.950888651423,0.11873965520715427,1.2436702870701222,0.025
14,19108.99657865241,0.19636357745678257,1.2260529474521915,0.025
15,19109.109943878837,0.4174767267855056,1.1180485054283105,0.025
16,19109.090099780355,0.40182564310800944,1.1643308053509065,0.025
17,19109.21652414184,0.47601000543328587,0.8777490157006904,0.025
18,19109.420832428616,0.20445283934206956,0.5266175554636802,0.025
19,19109.458323688712,0.1393398280181593,0.533245048896454,0.025
