hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457129.53155,bf,V,12.599,0.02,35.204,0.648
2456979.77437,be,V,12.637,0.02,33.801,0.622
2456921.80217,bf,V,12.574,0.02,36.018,0.663
2456876.91536,bf,V,12.622,0.02,34.521,0.635
2458332.90883,be,V,12.566,0.02,36.115,0.665
2458146.73767,be,V,12.658,0.02,33.167,0.61
2458010.8799,be,V,12.506,0.02,38.151,0.702
2457807.61061,be,V,12.672,0.02,32.742,0.602
2457422.72289,be,V,12.569,0.02,36.001,0.662
2457161.44664,bf,V,12.546,0.02,36.992,0.681
2457121.55939,bf,V,12.57,0.02,36.18,0.666
2457118.54097,be,V,12.562,0.02,36.237,0.667
2457103.49731,bf,V,12.658,0.02,33.338,0.613
2457000.65824,bf,V,12.693,0.02,32.308,0.594
2458369.91252,be,V,12.626,0.02,34.15,0.628
2458144.70094,be,V,12.556,0.02,36.424,0.67
2458033.7297,be,V,12.595,0.02,35.159,0.647
2457762.6333,be,V,12.6,0.02,34.987,0.644
2457415.7382,be,V,12.585,0.02,35.478,0.653
2457023.64843,be,V,12.659,0.02,33.147,0.61
2457006.64113,bf,V,12.644,0.02,33.825,0.622
2456974.7645,be,V,12.583,0.02,35.526,0.654
2456915.82362,be,V,12.612,0.02,34.591,0.636
2457433.67822,be,V,12.71,0.02,31.612,0.582
2457428.70367,be,V,12.589,0.02,35.342,0.65
2457064.61423,be,V,12.588,0.02,35.381,0.651
2457029.62588,be,V,12.618,0.02,34.425,0.633
2456980.76906,be,V,12.561,0.02,36.271,0.667
2456976.72819,bf,V,12.564,0.02,36.407,0.67
2456876.92468,be,V,12.622,0.02,34.286,0.631
2458140.67885,be,V,12.595,0.02,35.143,0.647
2457277.79116,be,V,12.603,0.02,34.883,0.642
2457080.58866,be,V,12.633,0.02,33.941,0.625
2457076.56608,be,V,12.562,0.02,36.227,0.667
2457067.65163,bf,V,12.631,0.02,34.184,0.629
2457045.63613,bf,V,12.581,0.02,35.797,0.659
2457016.69736,bf,V,12.57,0.02,36.182,0.666
2456909.82744,bf,V,12.584,0.02,35.711,0.657
2458338.93575,be,V,12.606,0.02,34.784,0.64
2458124.53499,be,V,12.649,0.02,33.433,0.615
2457375.53514,be,V,12.592,0.02,35.255,0.649
2457114.57138,bf,V,12.568,0.02,36.245,0.667
2457074.57106,be,V,12.579,0.02,35.677,0.656
2457019.69812,be,V,12.659,0.02,33.139,0.61
2457016.65976,be,V,12.587,0.02,35.406,0.651
2456978.62174,bf,V,12.545,0.02,37.02,0.681
2456964.80232,bf,V,12.629,0.02,34.239,0.63
2456880.89934,bf,V,12.583,0.02,35.72,0.657
2458341.94017,be,V,12.639,0.02,33.766,0.621
2458096.84356,be,V,12.547,0.02,36.749,0.676
2457084.54977,be,V,12.659,0.02,33.132,0.61
2457056.66425,bf,V,12.558,0.02,36.562,0.673
2457014.67569,bf,V,12.512,0.02,38.162,0.702
2457006.63286,be,V,12.644,0.02,33.594,0.618
2456964.74529,be,V,12.615,0.02,34.515,0.635
2456961.75584,bf,V,12.568,0.02,36.236,0.667
2456907.84176,be,V,12.562,0.02,36.234,0.667
2458344.87906,be,V,12.61,0.02,34.663,0.638
2457969.93433,be,V,12.641,0.02,33.676,0.62
2457878.45904,be,V,12.61,0.02,34.652,0.638
2457778.55084,be,V,12.582,0.02,35.569,0.654
2457248.88689,bf,V,12.599,0.02,35.212,0.648
2457121.53238,be,V,12.59,0.02,35.32,0.65
2457435.68848,be,V,12.669,0.02,32.844,0.604
2457132.50024,be,V,12.64,0.02,33.71,0.62
2456936.85784,be,V,12.603,0.02,34.902,0.642
2456887.86587,bf,V,12.622,0.02,34.504,0.635
2458383.77567,be,V,12.673,0.02,32.713,0.602
2456993.72553,bf,V,12.597,0.02,35.266,0.649
2456976.80206,be,V,12.575,0.02,35.802,0.659
