hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457273.86535,be,V,12.598,0.02,35.058,0.645
2457117.54283,be,V,12.572,0.02,35.902,0.661
2457052.68595,bf,V,12.603,0.02,35.085,0.646
2458310.94921,be,V,12.621,0.02,34.303,0.631
2457025.63537,be,V,12.622,0.02,34.281,0.631
2456933.87863,bf,V,12.689,0.02,32.406,0.596
2456849.94471,be,V,12.675,0.02,32.662,0.601
2458360.8352,be,V,12.665,0.02,32.964,0.607
2458141.69406,be,V,12.593,0.02,35.221,0.648
2457855.52782,be,V,12.626,0.02,34.147,0.628
2457131.50207,be,V,12.541,0.02,36.946,0.68
2457027.6119,be,V,12.651,0.02,33.381,0.614
2457026.66183,bf,V,12.634,0.02,34.097,0.627
2457858.48296,be,V,12.577,0.02,35.737,0.658
2457649.7758,be,V,12.571,0.02,35.943,0.661
2457467.55938,be,V,12.621,0.02,34.31,0.631
2457148.45588,be,V,12.606,0.02,34.802,0.64
2457096.50409,be,V,12.552,0.02,36.557,0.673
2457018.65742,be,V,12.585,0.02,35.469,0.653
2457015.64139,be,V,12.6,0.02,34.999,0.644
2457966.90543,be,V,12.55,0.02,36.643,0.674
2457689.6662,be,V,12.602,0.02,34.92,0.643
2457409.75877,be,V,12.608,0.02,34.743,0.639
2457356.67551,be,V,12.573,0.02,35.854,0.66
2457293.85471,be,V,12.578,0.02,35.717,0.657
2457153.45928,bf,V,12.645,0.02,33.752,0.621
2457114.54784,be,V,12.553,0.02,36.545,0.672
2457108.6128,bf,V,12.564,0.02,36.408,0.67
2457086.62101,be,V,12.648,0.02,33.48,0.616
2457041.66177,bf,V,12.593,0.02,35.411,0.652
2458367.81532,be,V,12.563,0.02,36.203,0.666
2458123.53887,be,V,12.619,0.02,34.396,0.633
2457687.67307,be,V,12.581,0.02,35.611,0.655
2457402.74647,be,V,12.624,0.02,34.228,0.63
2457398.75316,be,V,12.557,0.02,36.403,0.67
2457124.5294,be,V,12.657,0.02,33.204,0.611
2457023.66544,bf,V,12.638,0.02,33.968,0.625
2458145.66105,be,V,12.623,0.02,34.257,0.63
2458106.7496,be,V,12.576,0.02,35.779,0.658
2458003.80753,be,V,12.675,0.02,32.652,0.601
2457087.62074,be,V,12.602,0.02,34.927,0.643
2457065.5947,bf,V,12.696,0.02,32.244,0.593
2457036.62023,bf,V,12.599,0.02,35.222,0.648
2458135.68807,be,V,12.642,0.02,33.662,0.619
2458076.59777,be,V,12.679,0.02,32.529,0.599
2457694.77447,be,V,12.618,0.02,34.425,0.633
2457354.64055,be,V,12.568,0.02,36.045,0.663
2458127.54606,be,V,12.573,0.02,35.873,0.66
2457843.55485,be,V,12.585,0.02,35.463,0.653
2457062.59691,be,V,12.574,0.02,35.85,0.66
2456894.87953,bf,V,12.571,0.02,36.137,0.665
2457953.9364,be,V,12.586,0.02,35.452,0.652
2457377.62997,be,V,12.574,0.02,35.822,0.659
2456990.70022,bf,V,12.56,0.02,36.534,0.672
2458079.58833,be,V,12.585,0.02,35.477,0.653
2458015.77695,be,V,12.638,0.02,33.769,0.621
2457817.64014,be,V,12.585,0.02,35.481,0.653
2457424.64777,be,V,12.6,0.02,34.992,0.644
2457008.64945,be,V,12.616,0.02,34.472,0.634
2457745.67575,be,V,12.589,0.02,35.337,0.65
2457445.6321,be,V,12.605,0.02,34.823,0.641
2457367.60974,be,V,12.6,0.02,34.986,0.644
2456790.45383,bf,V,12.608,0.02,34.907,0.642
2458104.82536,be,V,12.6,0.02,34.978,0.644
2457834.57416,be,V,12.583,0.02,35.539,0.654
2457096.628,bf,V,12.544,0.02,37.047,0.682
2457068.64687,be,V,12.565,0.02,36.118,0.665
2456984.77114,be,V,12.567,0.02,36.065,0.664
2456969.71604,bf,V,12.614,0.02,34.72,0.639
2456925.78633,be,V,12.578,0.02,35.7,0.657
2456891.8635,bf,V,12.677,0.02,32.787,0.603
2458345.87557,be,V,12.636,0.02,33.858,0.623
2458075.72465,be,V,12.582,0.02,35.586,0.655
2458056.69271,be,V,12.589,0.02,35.334,0.65
2457333.74798,be,V,12.573,0.02,35.855,0.66
2457331.82539,be,V,12.563,0.02,36.21,0.666
2457853.5327,be,V,12.638,0.02,33.773,0.621
2457252.87367,bf,V,12.618,0.02,34.599,0.637
2457118.56442,bf,V,12.549,0.02,36.884,0.679
2457069.65403,bf,V,12.652,0.02,33.549,0.617
2457068.65881,bf,V,12.567,0.02,36.277,0.668
2457053.5941,be,V,12.616,0.02,34.488,0.635
2457036.61169,be,V,12.595,0.02,35.161,0.647
2456873.90516,be,V,12.581,0.02,35.612,0.655
2458375.79108,be,V,12.591,0.02,35.286,0.649
2458371.80515,be,V,12.571,0.02,35.941,0.661
2458029.73735,be,V,12.541,0.02,36.934,0.68
2457737.78429,be,V,12.58,0.02,35.626,0.656
2457139.48682,be,V,12.581,0.02,35.596,0.655
2457079.57561,bf,V,12.548,0.02,36.908,0.679
2457014.71661,be,V,12.526,0.02,37.464,0.689
2456967.74286,bf,V,12.572,0.02,36.104,0.664
2456878.90701,bf,V,12.618,0.02,34.64,0.637
